Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,9117.00,8004.00,13.91%
421,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,8513.00,7759.00,9.72%
422,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,8507.00,9509.00,-10.54%
423,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,8359.00,7140.00,17.07%
424,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,8278.00,7502.00,10.34%
426,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8045.00,7890.00,1.96%
427,AL,AK,HNS,Haines,Haines,CS,None,8026.00,7864.00,2.06%
429,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,7985.00,994.00,703.32%
430,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,7956.00,5998.00,32.64%
432,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,7717.00,9078.00,-14.99%
434,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,7355.00,8318.00,-11.58%
435,AL,AK,SGY,Skagway,Skagway,CS,None,7324.00,7380.00,-0.76%
436,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,7125.00,6494.00,9.72%
437,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7071.00,6101.00,15.90%
438,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,7042.00,7338.00,-4.03%
439,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,6838.00,6255.00,9.32%
440,AL,AK,HNH,Hoonah,Hoonah,CS,None,6817.00,6820.00,-0.04%
441,WP,CA,IPL,Imperial,Imperial County,CS,None,6648.00,6136.00,8.34%
442,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,6641.00,6799.00,-2.32%
443,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,6628.00,7767.00,-14.66%
447,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,6396.00,5701.00,12.19%
448,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6186.00,5176.00,19.51%
449,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6123.00,6490.00,-5.65%
450,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,6020.00,6345.00,-5.12%
451,EA,PA,LNS,Lititz,Lancaster,CS,None,6012.00,4577.00,31.35%
452,SW,NM,SVC,Silver City,Grant County,CS,None,5949.00,5686.00,4.63%
455,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,5907.00,6802.00,-13.16%
456,AL,AK,VAK,Chevak,Chevak,CS,None,5891.00,5243.00,12.36%
457,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,5890.00,5698.00,3.37%
458,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,5856.00,5931.00,-1.26%
459,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,5839.00,4785.00,22.03%
460,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,5706.00,4007.00,42.40%
461,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,5634.00,5646.00,-0.21%
463,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,5554.00,5024.00,10.55%
464,AL,AK,ILI,Iliamna,Iliamna,CS,None,5553.00,5752.00,-3.46%
465,NE,ME,AUG,Augusta,Augusta State,CS,None,5530.00,5435.00,1.75%
466,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,5448.00,3888.00,40.12%
467,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,5335.00,5348.00,-0.24%
468,SW,AR,HRO,Harrison,Boone County,CS,None,5307.00,4371.00,21.41%
469,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,5306.00,5152.00,2.99%
470,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,5273.00,4977.00,5.95%
471,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,5218.00,5532.00,-5.68%
472,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,5160.00,5022.00,2.75%
473,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,5124.00,3972.00,29.00%
474,AL,AK,WLK,Selawik,Selawik,CS,None,5094.00,5260.00,-3.16%
475,AL,AK,WTK,Noatak,Noatak,CS,None,4984.00,4716.00,5.68%
476,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,4805.00,5735.00,-16.22%
477,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,4775.00,2654.00,79.92%
478,SW,NM,CVN,Clovis,Clovis Municipal,CS,None,4750.00,5053.00,-6.00%
480,AL,AK,BVK,Buckland,Buckland,CS,None,4694.00,4456.00,5.34%
481,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4584.00,4444.00,3.15%
482,CE,NE,EAR,Kearney,Kearney Regional,CS,None,4568.00,4607.00,-0.85%
483,AL,AK,PHO,Point Hope,Point Hope,CS,None,4515.00,4964.00,-9.05%
484,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,4463.00,4852.00,-8.02%
485,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4417.00,4093.00,7.92%
486,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,4381.00,3594.00,21.90%
488,AL,AK,SOV,Seldovia,Seldovia,CS,None,4315.00,4206.00,2.59%
489,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,4296.00,3614.00,18.87%
